ReturnDate,TerritoryKey,ProductKey,ReturnQuantity
2024-05-26,9,121,4
2024-10-04,9,129,13
2024-11-28,5,149,9
2024-11-13,8,127,20
2024-03-21,1,128,11
2024-07-04,8,130,7
2024-10-27,2,136,11
2024-11-20,10,144,3
2024-04-15,9,124,14
2024-09-12,3,112,12
2024-09-22,6,105,20
2024-04-12,9,118,6
2024-08-03,5,128,13
2024-10-12,9,118,11
2024-02-14,7,114,9
2024-02-06,8,134,9
2024-02-07,3,135,10
2024-12-11,7,126,12
2024-08-06,10,126,9
2024-05-24,2,111,4
2024-12-08,2,119,19
2024-09-25,10,124,15
2024-04-29,5,115,4
2024-07-28,6,144,3
2024-03-07,1,119,20
2024-06-17,4,113,20
2024-02-27,2,103,6
2024-09-11,10,135,20
2024-04-13,5,111,15
2024-10-09,6,126,2
2024-07-23,3,113,2
2024-06-25,3,133,17
2024-07-24,8,112,8
2024-06-28,10,136,14
2024-02-14,9,114,20
2024-03-31,6,100,20
2024-10-28,7,120,12
2024-03-31,5,133,12
2024-01-11,7,112,7
2024-09-08,7,132,9
2024-08-20,7,134,17
2024-08-03,9,139,20
2024-10-06,5,129,20
2024-12-20,4,150,14
2024-02-11,4,127,19
2024-03-18,1,135,9
2024-04-21,1,124,12
2024-07-05,7,110,12
2024-12-26,3,121,5
2024-03-07,8,111,3
